problem,method,refinement_level,n_dof,l2_error,wall_time_seconds,n_solves,error_per_dof,seed
poisson_lshaped,dorfler,0,16,1.71419783e-02,0.002503,1,1.07137364e-03,7961
poisson_lshaped,dorfler,1,24,1.37436054e-02,0.004565,2,5.72650226e-04,7961
poisson_lshaped,dorfler,2,34,1.28538975e-02,0.006748,3,3.78055808e-04,7961
poisson_lshaped,dorfler,3,56,1.23263516e-02,0.009425,4,2.20113421e-04,7961
poisson_lshaped,dorfler,4,110,1.26652523e-02,0.013339,5,1.15138657e-04,7961
poisson_lshaped,dorfler,5,215,1.25667765e-02,0.019505,6,5.84501230e-05,7961
poisson_lshaped,dorfler,6,438,1.25588141e-02,0.029612,7,2.86730916e-05,7961
poisson_lshaped,dorfler,7,873,8.28990488e-03,0.048140,8,9.49588188e-06,7961
poisson_lshaped,dorfler,8,1316,8.40085607e-03,0.074595,9,6.38362924e-06,7961
poisson_lshaped,mcts,0,16,1.71419783e-02,0.001503,1,1.07137364e-03,7961
poisson_lshaped,mcts,1,24,1.62061122e-02,0.245352,83,6.75254675e-04,7961
poisson_lshaped,mcts,2,34,1.64707289e-02,0.855443,220,4.84433202e-04,7961
poisson_lshaped,mcts,3,46,1.34657706e-02,1.142895,297,2.92734143e-04,7961
poisson_lshaped,mcts,4,60,1.33291075e-02,1.455873,374,2.22151792e-04,7961
poisson_lshaped,mcts,5,76,1.33087418e-02,2.301371,511,1.75115023e-04,7961
poisson_lshaped,mcts,6,94,1.32747467e-02,3.195437,648,1.41220709e-04,7961
poisson_lshaped,mcts,7,114,1.32585111e-02,4.749259,809,1.16302729e-04,7961
poisson_lshaped,mcts,8,136,1.32447104e-02,5.900161,946,9.73875763e-05,7961
poisson_lshaped,mcts,9,160,1.32376929e-02,8.032543,1135,8.27355806e-05,7961
poisson_lshaped,mcts,10,186,1.32353087e-02,9.289283,1272,7.11575737e-05,7961
poisson_lshaped,mcts,11,214,1.32340124e-02,10.726929,1414,6.18411794e-05,7961
poisson_lshaped,mcts,12,244,1.32304751e-02,12.395519,1567,5.42232587e-05,7961
poisson_lshaped,mcts,13,276,1.32281122e-02,13.085893,1641,4.79279427e-05,7961
poisson_lshaped,mcts,14,310,1.32264864e-02,13.884243,1718,4.26660852e-05,7961
poisson_lshaped,mcts,15,346,1.32253446e-02,14.517679,1776,3.82235392e-05,7961
poisson_lshaped,mcts,16,384,1.32245301e-02,16.471908,1913,3.44388804e-05,7961
poisson_lshaped,mcts,17,424,1.32239419e-02,18.493396,2048,3.11885422e-05,7961
poisson_lshaped,mcts,18,466,1.32235123e-02,19.495677,2122,2.83766358e-05,7961
poisson_lshaped,mcts,19,510,1.32231953e-02,21.566995,2248,2.59278339e-05,7961
poisson_lshaped,mcts,20,559,8.74142534e-03,23.360482,2353,1.56376124e-05,7961
poisson_lshaped,mcts,21,607,8.74131216e-03,25.424197,2465,1.44008438e-05,7961
poisson_lshaped,mcts,22,657,8.74090419e-03,27.390930,2570,1.33042682e-05,7961
poisson_lshaped,mcts,23,709,8.74075249e-03,29.294983,2668,1.23282828e-05,7961
poisson_lshaped,mcts,24,763,8.74049694e-03,30.994694,2752,1.14554350e-05,7961
poisson_lshaped,mcts,25,822,9.21046823e-03,32.497851,2824,1.12049492e-05,7961
poisson_lshaped,mcts,26,880,9.21038403e-03,33.731244,2881,1.04663455e-05,7961
poisson_lshaped,mcts,27,940,9.21018228e-03,34.954965,2935,9.79806625e-06,7961
poisson_lshaped,mcts,28,1002,9.21011473e-03,36.006562,2980,9.19173127e-06,7961
poisson_lshaped,mcts,29,1066,9.20980144e-03,36.814058,3013,8.63958859e-06,7961
poisson_lshaped,mcts,30,1132,9.20962389e-03,37.498027,3040,8.13571015e-06,7961
poisson_lshaped,mcts,31,1200,9.20960931e-03,37.924018,3057,7.67467442e-06,7961
