method,seed,level,n_dof,l2_error,wall_time_seconds,n_cache_misses,n_cache_hits,n_apply_actions
uniform,-1,0,225,0.00650319332814,0.0216656,1,0,0
uniform,-1,1,833,0.00268325572491,0.0433312,2,0,1
dorfler,-1,0,225,0.00650319332814,0.0163294,1,0,0
dorfler,-1,1,230,0.00356467656073,0.0326589,2,0,1
dorfler,-1,2,240,0.00240281934858,0.0489883,3,0,2
dorfler,-1,3,252,0.00188635490493,0.0653177,4,0,3
dorfler,-1,4,263,0.00174632835282,0.0816471,5,0,4
dorfler,-1,5,287,0.0014951542361,0.0979766,6,0,5
dorfler,-1,6,336,0.00112207897695,0.114306,7,0,6
dorfler,-1,7,411,0.000829393670806,0.130635,8,0,7
dorfler,-1,8,565,0.000579295793845,0.146965,9,0,8
dorfler,-1,9,887,0.000386123839157,0.163294,10,0,9
mcts,42,0,225,0.00650319332814,5.765e-06,1,0,0
mcts,42,1,230,0.00356467656073,0.124716,9,29,1
mcts,42,2,237,0.00256487739071,0.249248,13,108,2
mcts,42,3,244,0.00221316274006,0.322073,13,189,3
mcts,42,4,251,0.00208384242833,0.388083,13,262,4
mcts,42,5,258,0.00203451775082,0.463482,15,312,5
mcts,42,6,262,0.00188576102916,0.585486,22,341,6
mcts,42,7,266,0.00173503644406,0.691564,28,369,7
mcts,42,8,271,0.00165125863787,0.782842,33,395,8
mcts,42,9,275,0.00159367467751,0.85856,37,418,9
mcts,42,10,279,0.00153786224125,0.917815,40,437,10
mcts,42,11,283,0.00148130285999,0.958865,42,451,11
mcts,42,12,287,0.00142514844242,0.980642,43,459,12
mcts,1051,0,225,0.00650319332814,5.258e-06,1,0,0
mcts,1051,1,230,0.00356467656073,0.123666,9,29,1
mcts,1051,2,237,0.00256487739071,0.247707,13,108,2
mcts,1051,3,244,0.00221316274006,0.320958,13,189,3
mcts,1051,4,251,0.00208384242833,0.388397,13,262,4
mcts,1051,5,258,0.00203451775082,0.457616,15,312,5
mcts,1051,6,262,0.00188576102916,0.56771,22,341,6
mcts,1051,7,266,0.00173503644406,0.665488,28,369,7
mcts,1051,8,271,0.00165125863787,0.750535,33,395,8
mcts,1051,9,275,0.00159367467751,0.821107,37,418,9
mcts,1051,10,279,0.00153786224125,0.8761,40,437,10
mcts,1051,11,283,0.00148130285999,0.914305,42,451,11
mcts,1051,12,287,0.00142514844242,0.935091,43,459,12
mcts,2060,0,225,0.00650319332814,3.456e-06,1,0,0
mcts,2060,1,230,0.00356467656073,0.112905,9,29,1
mcts,2060,2,237,0.00256487739071,0.231983,13,108,2
mcts,2060,3,244,0.00221316274006,0.304826,13,189,3
mcts,2060,4,251,0.00208384242833,0.371212,13,262,4
mcts,2060,5,258,0.00203451775082,0.439766,15,312,5
mcts,2060,6,262,0.00188576102916,0.550095,22,341,6
mcts,2060,7,266,0.00173503644406,0.64829,28,369,7
mcts,2060,8,271,0.00165125863787,0.732823,33,395,8
mcts,2060,9,275,0.00159367467751,0.803082,37,418,9
mcts,2060,10,279,0.00153786224125,0.858193,40,437,10
mcts,2060,11,283,0.00148130285999,0.896566,42,451,11
mcts,2060,12,287,0.00142514844242,0.917149,43,459,12
